DATE,ATNHPIUS12420Q
1977-04-01,39.16
1977-07-01,40.61
1977-10-01,43.22
1978-01-01,44.42
1978-04-01,46.47
1978-07-01,48.16
1978-10-01,49.32
1979-01-01,52.22
1979-04-01,52.64
1979-07-01,55.89
1979-10-01,59.09
1980-01-01,58.38
1980-04-01,63.66
1980-07-01,60.54
1980-10-01,61.4
1981-01-01,63.46
1981-04-01,66.53
1981-07-01,68.52
1981-10-01,57.24
1982-01-01,69.28
1982-04-01,64.14
1982-07-01,62.36
1982-10-01,72.59
1983-01-01,74.26
1983-04-01,77.29
1983-07-01,78.02
1983-10-01,81.35
1984-01-01,82.44
1984-04-01,86.33
1984-07-01,89.78
1984-10-01,91.41
1985-01-01,93.59
1985-04-01,96.71
1985-07-01,96.42
1985-10-01,96.46
1986-01-01,96.94
1986-04-01,98.6
1986-07-01,97.62
1986-10-01,95.66
1987-01-01,93.31
1987-04-01,91.62
1987-07-01,85.03
1987-10-01,81.32
1988-01-01,79.28
1988-04-01,91.37
1988-07-01,75.27
1988-10-01,73.71
1989-01-01,73.31
1989-04-01,72.91
1989-07-01,73.96
1989-10-01,72.98
1990-01-01,72.72
1990-04-01,73.1
1990-07-01,72.72
1990-10-01,72.93
1991-01-01,75.03
1991-04-01,76.8
1991-07-01,77.88
1991-10-01,78.33
1992-01-01,80.23
1992-04-01,82.12
1992-07-01,84.38
1992-10-01,85.63
1993-01-01,87.72
1993-04-01,89.78
1993-07-01,93
1993-10-01,94.93
1994-01-01,97.15
1994-04-01,99.79
1994-07-01,100.34
1994-10-01,100.22
1995-01-01,100.00
1995-04-01,102.15
1995-07-01,104.11
1995-10-01,105
1996-01-01,105.82
1996-04-01,106.16
1996-07-01,106.19
1996-10-01,107.18
1997-01-01,106.83
1997-04-01,107.14
1997-07-01,107.26
1997-10-01,109.07
1998-01-01,110.48
1998-04-01,111.47
1998-07-01,113.14
1998-10-01,114.66
1999-01-01,116.16
1999-04-01,119.72
1999-07-01,123.13
1999-10-01,126.28
2000-01-01,130.05
2000-04-01,135.3
2000-07-01,139.93
2000-10-01,142.11
2001-01-01,147.81
2001-04-01,149.94
2001-07-01,149.54
2001-10-01,150.32
2002-01-01,149.99
2002-04-01,150.35
2002-07-01,152.73
2002-10-01,153.32
2003-01-01,153.3
2003-04-01,153.31
2003-07-01,152.17
2003-10-01,152.98
2004-01-01,153.11
2004-04-01,153.8
2004-07-01,153.87
2004-10-01,156.23
2005-01-01,157.21
2005-04-01,160.59
2005-07-01,163.61
2005-10-01,165.7
2006-01-01,167.71
2006-04-01,173.26
2006-07-01,176.81
2006-10-01,180.42
2007-01-01,184.58
2007-04-01,190
2007-07-01,191.88
2007-10-01,193.47
2008-01-01,196.72
2008-04-01,197.82
2008-07-01,197.29
2008-10-01,197.76
2009-01-01,198.22
2009-04-01,196.09
2009-07-01,194.54
2009-10-01,194.02
2010-01-01,193.22
2010-04-01,193.11
2010-07-01,194.58
2010-10-01,193.24
2011-01-01,189.29
2011-04-01,189.77
2011-07-01,191.61
2011-10-01,193.69
2012-01-01,193.25
2012-04-01,195
2012-07-01,198.17
2012-10-01,200.7
2013-01-01,204.02
2013-04-01,209.82
2013-07-01,216.41
2013-10-01,220.36
2014-01-01,225.72
2014-04-01,236.52
2014-07-01,241.85
2014-10-01,244.29
2015-01-01,248.24
2015-04-01,258.18
2015-07-01,265.74
2015-10-01,266.39
2016-01-01,272.7
2016-04-01,280.71
2016-07-01,286.97
2016-10-01,288.3
2017-01-01,292.83
2017-04-01,302.49
2017-07-01,305.68
2017-10-01,306.9
2018-01-01,311.17
2018-04-01,319.33
2018-07-01,323.62
2018-10-01,323.61
2019-01-01,331.29
2019-04-01,338.89
2019-07-01,343.65
2019-10-01,346.62
2020-01-01,352.47
2020-04-01,357.82
2020-07-01,364.67
2020-10-01,378.18
2021-01-01,393.98
2021-04-01,440.17
2021-07-01,484.85
2021-10-01,500.82
2022-01-01,525.24
