DATE,ATNHPIUS19124Q
1975-10-01,40.94
1976-01-01,39.8
1976-04-01,45.51
1976-07-01,42.41
1976-10-01,42.09
1977-01-01,44.72
1977-04-01,51.55
1977-07-01,47.04
1977-10-01,49.37
1978-01-01,51.74
1978-04-01,56.77
1978-07-01,58.09
1978-10-01,60.09
1979-01-01,62.2
1979-04-01,67.78
1979-07-01,69.24
1979-10-01,71.89
1980-01-01,74.7
1980-04-01,75.99
1980-07-01,78.21
1980-10-01,79.77
1981-01-01,81.8
1981-04-01,83.61
1981-07-01,84.86
1981-10-01,77.83
1982-01-01,87.54
1982-04-01,81.95
1982-07-01,85.2
1982-10-01,87.47
1983-01-01,91.29
1983-04-01,93.05
1983-07-01,94.57
1983-10-01,97.03
1984-01-01,97.44
1984-04-01,99.31
1984-07-01,101.76
1984-10-01,101.93
1985-01-01,102.49
1985-04-01,104.76
1985-07-01,105.82
1985-10-01,106.18
1986-01-01,106.71
1986-04-01,109.07
1986-07-01,107.99
1986-10-01,107.45
1987-01-01,107.03
1987-04-01,102.71
1987-07-01,102.11
1987-10-01,99.02
1988-01-01,98.57
1988-04-01,98.37
1988-07-01,95.84
1988-10-01,94.32
1989-01-01,93.56
1989-04-01,93.9
1989-07-01,95.57
1989-10-01,95.02
1990-01-01,94.41
1990-04-01,94.93
1990-07-01,95.13
1990-10-01,94.41
1991-01-01,95.62
1991-04-01,96.17
1991-07-01,95.55
1991-10-01,97.21
1992-01-01,98.41
1992-04-01,97.51
1992-07-01,99.14
1992-10-01,99.24
1993-01-01,99.09
1993-04-01,99.92
1993-07-01,100.47
1993-10-01,101.19
1994-01-01,101.39
1994-04-01,100.79
1994-07-01,100.48
1994-10-01,100.07
1995-01-01,100.00
1995-04-01,101.5
1995-07-01,103.22
1995-10-01,103.99
1996-01-01,104.98
1996-04-01,104.88
1996-07-01,105.7
1996-10-01,106.1
1997-01-01,106.94
1997-04-01,107.76
1997-07-01,108.8
1997-10-01,110.37
1998-01-01,112.14
1998-04-01,112.92
1998-07-01,115.26
1998-10-01,116.72
1999-01-01,117.72
1999-04-01,120.22
1999-07-01,121.93
1999-10-01,123.46
2000-01-01,125.82
2000-04-01,127.65
2000-07-01,129.33
2000-10-01,131.04
2001-01-01,134.53
2001-04-01,136.57
2001-07-01,137.76
2001-10-01,139.51
2002-01-01,140.1
2002-04-01,141.29
2002-07-01,143.42
2002-10-01,144.45
2003-01-01,145.11
2003-04-01,145.87
2003-07-01,146.48
2003-10-01,147.05
2004-01-01,147.92
2004-04-01,148.89
2004-07-01,149.5
2004-10-01,150.97
2005-01-01,151.65
2005-04-01,153.28
2005-07-01,154.93
2005-10-01,155.78
2006-01-01,156.9
2006-04-01,157.99
2006-07-01,159.1
2006-10-01,160.21
2007-01-01,161.56
2007-04-01,164.29
2007-07-01,162.96
2007-10-01,163.97
2008-01-01,165.24
2008-04-01,165.05
2008-07-01,164.26
2008-10-01,164.99
2009-01-01,167.35
2009-04-01,165.51
2009-07-01,162.56
2009-10-01,162.85
2010-01-01,162.29
2010-04-01,162.3
2010-07-01,163.39
2010-10-01,162.32
2011-01-01,159.39
2011-04-01,157.89
2011-07-01,160.21
2011-10-01,159.72
2012-01-01,159.44
2012-04-01,160.12
2012-07-01,161.63
2012-10-01,163.23
2013-01-01,164.46
2013-04-01,168.53
2013-07-01,172.03
2013-10-01,174.19
2014-01-01,177.97
2014-04-01,183.66
2014-07-01,187.38
2014-10-01,189.53
2015-01-01,194.24
2015-04-01,200.93
2015-07-01,206.56
2015-10-01,209.26
2016-01-01,213.78
2016-04-01,221.79
2016-07-01,226.46
2016-10-01,230.49
2017-01-01,235.4
2017-04-01,244.81
2017-07-01,249.24
2017-10-01,251.72
2018-01-01,255.6
2018-04-01,260.79
2018-07-01,263.83
2018-10-01,264.26
2019-01-01,266.65
2019-04-01,271.27
2019-07-01,273.81
2019-10-01,275.48
2020-01-01,277.47
2020-04-01,278.51
2020-07-01,283.16
2020-10-01,289.1
2021-01-01,295.64
2021-04-01,315.07
2021-07-01,336.17
2021-10-01,350.87
2022-01-01,370.09
