Date,Close
1/1/1976,51.69
4/1/1976,58.65
7/1/1976,58.57
10/1/1976,58.28
1/1/1977,60.2
4/1/1977,66.79
7/1/1977,64.59
10/1/1977,68.11
1/1/1978,69.94
4/1/1978,75.26
7/1/1978,73.56
10/1/1978,77.22
1/1/1979,80.62
4/1/1979,84.85
7/1/1979,86.19
10/1/1979,86.69
1/1/1980,88.95
4/1/1980,92.77
7/1/1980,91.53
10/1/1980,93.4
1/1/1981,90.25
4/1/1981,96.15
7/1/1981,98.16
10/1/1981,100.81
1/1/1982,107.01
4/1/1982,107.89
7/1/1982,106.28
10/1/1982,108.05
1/1/1983,108.2
4/1/1983,108.8
7/1/1983,107.94
10/1/1983,106.96
1/1/1984,103.8
4/1/1984,103.75
7/1/1984,104.37
10/1/1984,101.58
1/1/1985,98.35
4/1/1985,96.37
7/1/1985,94.41
10/1/1985,92.19
1/1/1986,93.45
4/1/1986,94.67
7/1/1986,92.81
10/1/1986,88.69
1/1/1987,88.35
4/1/1987,86.9
7/1/1987,84.08
10/1/1987,81.88
1/1/1988,82.18
4/1/1988,84.61
7/1/1988,85.45
10/1/1988,86.02
1/1/1989,86.72
4/1/1989,88.85
7/1/1989,90.69
10/1/1989,91.35
1/1/1990,91.95
4/1/1990,92.98
7/1/1990,94.31
10/1/1990,94.03
1/1/1991,95.01
4/1/1991,95.92
7/1/1991,96.58
10/1/1991,97.67
1/1/1992,99.28
4/1/1992,98.84
7/1/1992,100.51
10/1/1992,100.48
1/1/1993,100.79
4/1/1993,101.35
7/1/1993,102.15
10/1/1993,102.72
1/1/1994,102.57
4/1/1994,101.9
7/1/1994,101.89
10/1/1994,100.4
1/1/1995,100
4/1/1995,101.74
7/1/1995,102.56
10/1/1995,102.77
1/1/1996,104.31
4/1/1996,103.83
7/1/1996,104.11
10/1/1996,104.64
1/1/1997,104.57
4/1/1997,106.12
7/1/1997,107.12
10/1/1997,108.19
1/1/1998,110.74
4/1/1998,111.9
7/1/1998,113.9
10/1/1998,115.44
1/1/1999,116.86
4/1/1999,119.69
7/1/1999,122.64
10/1/1999,124.84
1/1/2000,126.53
4/1/2000,128.49
7/1/2000,130.23
10/1/2000,131.19
1/1/2001,135.44
4/1/2001,136.88
7/1/2001,138.63
10/1/2001,140
1/1/2002,140.77
4/1/2002,142.49
7/1/2002,144.29
10/1/2002,146.31
1/1/2003,147.32
4/1/2003,148.28
7/1/2003,149.15
10/1/2003,150.69
1/1/2004,152.21
4/1/2004,153.65
7/1/2004,155.61
10/1/2004,156.71
1/1/2005,158.86
4/1/2005,160.31
7/1/2005,162.36
10/1/2005,165.19
1/1/2006,167.54
4/1/2006,170.13
7/1/2006,172.42
10/1/2006,173.81
1/1/2007,176.2
4/1/2007,179.19
7/1/2007,179.74
10/1/2007,180.91
1/1/2008,183.05
4/1/2008,183.55
7/1/2008,184.59
10/1/2008,184.37
1/1/2009,186.8
4/1/2009,185.42
7/1/2009,184.37
10/1/2009,184
1/1/2010,182.63
4/1/2010,183.09
7/1/2010,183.78
10/1/2010,183.51
1/1/2011,180.09
4/1/2011,179.64
7/1/2011,181.14
10/1/2011,181.94
1/1/2012,182.91
4/1/2012,185.57
7/1/2012,187.22
10/1/2012,188.81
1/1/2013,190.98
4/1/2013,194.89
7/1/2013,199.68
10/1/2013,204.24
1/1/2014,208.19
4/1/2014,215.77
7/1/2014,223.21
10/1/2014,226.93
1/1/2015,229.58
4/1/2015,235.99
7/1/2015,238.93
10/1/2015,239.54
1/1/2016,240.1
4/1/2016,245.25
7/1/2016,248.27
10/1/2016,248.91
1/1/2017,251.04
4/1/2017,255.72
7/1/2017,256.72
10/1/2017,259.68
1/1/2018,262.32
4/1/2018,266.57
7/1/2018,270.23
10/1/2018,270.13
1/1/2019,272.77
4/1/2019,277.26
7/1/2019,279.61
10/1/2019,281
1/1/2020,284.92
4/1/2020,288.82
7/1/2020,290.4
10/1/2020,294.53
1/1/2021,297.98
4/1/2021,311.62
7/1/2021,324.56
10/1/2021,336.11
1/1/2022,351.04
