DATE,ATNHPIUS31084Q
1975-01-01,20.41
1975-04-01,21.29
1975-07-01,21.49
1975-10-01,22.61
1976-01-01,23.96
1976-04-01,25.39
1976-07-01,26.77
1976-10-01,27.49
1977-01-01,28.63
1977-04-01,30.96
1977-07-01,33.14
1977-10-01,34.54
1978-01-01,35.77
1978-04-01,37.45
1978-07-01,39.01
1978-10-01,40.67
1979-01-01,42.27
1979-04-01,44.63
1979-07-01,46.63
1979-10-01,48.58
1980-01-01,50.44
1980-04-01,52.16
1980-07-01,54.31
1980-10-01,55.08
1981-01-01,55.35
1981-04-01,56.71
1981-07-01,58.48
1981-10-01,59
1982-01-01,45.46
1982-04-01,52.87
1982-07-01,50.6
1982-10-01,58.39
1983-01-01,59.32
1983-04-01,60.02
1983-07-01,60.35
1983-10-01,60.5
1984-01-01,61.54
1984-04-01,61.61
1984-07-01,62.42
1984-10-01,62.96
1985-01-01,63.91
1985-04-01,64.91
1985-07-01,66.41
1985-10-01,67.29
1986-01-01,67.98
1986-04-01,69.31
1986-07-01,71.1
1986-10-01,73.09
1987-01-01,75.61
1987-04-01,77.94
1987-07-01,81.22
1987-10-01,84.61
1988-01-01,88.46
1988-04-01,92.9
1988-07-01,98.25
1988-10-01,104.61
1989-01-01,110.06
1989-04-01,116.19
1989-07-01,122.1
1989-10-01,125.64
1990-01-01,126.72
1990-04-01,126.65
1990-07-01,126.76
1990-10-01,125.04
1991-01-01,124.95
1991-04-01,123.37
1991-07-01,123.13
1991-10-01,124.39
1992-01-01,123.78
1992-04-01,122.1
1992-07-01,121.22
1992-10-01,119.59
1993-01-01,116.86
1993-04-01,114.95
1993-07-01,113.1
1993-10-01,111.71
1994-01-01,110.24
1994-04-01,105.53
1994-07-01,103.29
1994-10-01,101.06
1995-01-01,100.00
1995-04-01,100.93
1995-07-01,102.75
1995-10-01,102.99
1996-01-01,102.8
1996-04-01,100.23
1996-07-01,99.65
1996-10-01,100.4
1997-01-01,100.56
1997-04-01,100.77
1997-07-01,102.91
1997-10-01,105.33
1998-01-01,108.04
1998-04-01,110.46
1998-07-01,113.32
1998-10-01,115.96
1999-01-01,117.87
1999-04-01,119.08
1999-07-01,120.86
1999-10-01,122.69
2000-01-01,126.23
2000-04-01,127.89
2000-07-01,130.78
2000-10-01,133.72
2001-01-01,137.47
2001-04-01,140.59
2001-07-01,143.79
2001-10-01,147.11
2002-01-01,152.04
2002-04-01,158.1
2002-07-01,164.17
2002-10-01,169.39
2003-01-01,174.01
2003-04-01,178.3
2003-07-01,185.69
2003-10-01,199.89
2004-01-01,208.21
2004-04-01,221.75
2004-07-01,245.68
2004-10-01,254.58
2005-01-01,264.94
2005-04-01,280.26
2005-07-01,296.05
2005-10-01,315.01
2006-01-01,326.7
2006-04-01,334
2006-07-01,339.83
2006-10-01,340.15
2007-01-01,338.11
2007-04-01,335.92
2007-07-01,328.89
2007-10-01,318
2008-01-01,299.67
2008-04-01,275.99
2008-07-01,255.65
2008-10-01,245.67
2009-01-01,242.48
2009-04-01,232.9
2009-07-01,229.33
2009-10-01,232.04
2010-01-01,230.79
2010-04-01,230.46
2010-07-01,232.49
2010-10-01,230.71
2011-01-01,223.78
2011-04-01,220.51
2011-07-01,221.62
2011-10-01,220.98
2012-01-01,218.71
2012-04-01,218.5
2012-07-01,222.09
2012-10-01,225.97
2013-01-01,230.56
2013-04-01,239.29
2013-07-01,251.11
2013-10-01,259.72
2014-01-01,264.76
2014-04-01,270.82
2014-07-01,276.57
2014-10-01,279.97
2015-01-01,282.86
2015-04-01,287.97
2015-07-01,294.77
2015-10-01,299.26
2016-01-01,303.21
2016-04-01,307.58
2016-07-01,314.47
2016-10-01,319.17
2017-01-01,324.09
2017-04-01,329.46
2017-07-01,336.37
2017-10-01,341.48
2018-01-01,347.88
2018-04-01,353.94
2018-07-01,359.08
2018-10-01,359.74
2019-01-01,362.24
2019-04-01,365.02
2019-07-01,368.63
2019-10-01,371.68
2020-01-01,375.86
2020-04-01,380.43
2020-07-01,384.03
2020-10-01,391.74
2021-01-01,401.76
2021-04-01,422.59
2021-07-01,442.71
2021-10-01,458.67
2022-01-01,477.84
