DATE,ATNHPIUS35614Q
1975-10-01,24.11
1976-01-01,23.86
1976-04-01,23.35
1976-07-01,24.69
1976-10-01,24.65
1977-01-01,25.64
1977-04-01,24.94
1977-07-01,25.7
1977-10-01,26.11
1978-01-01,26.05
1978-04-01,27.98
1978-07-01,28.24
1978-10-01,28.59
1979-01-01,31.42
1979-04-01,32.73
1979-07-01,33.77
1979-10-01,34.05
1980-01-01,36.3
1980-04-01,37.55
1980-07-01,37.26
1980-10-01,37.16
1981-01-01,38.29
1981-04-01,39.9
1981-07-01,40.96
1981-10-01,40.91
1982-01-01,39.62
1982-04-01,42.04
1982-07-01,43.34
1982-10-01,43.52
1983-01-01,44.31
1983-04-01,45.51
1983-07-01,48.08
1983-10-01,49.85
1984-01-01,51.47
1984-04-01,54.37
1984-07-01,56.31
1984-10-01,59.32
1985-01-01,62.04
1985-04-01,65.14
1985-07-01,67.85
1985-10-01,71.18
1986-01-01,75.08
1986-04-01,80.08
1986-07-01,85.09
1986-10-01,89.01
1987-01-01,93.94
1987-04-01,98.84
1987-07-01,102.41
1987-10-01,104.58
1988-01-01,106.85
1988-04-01,108.83
1988-07-01,108.71
1988-10-01,108.41
1989-01-01,108.68
1989-04-01,108.02
1989-07-01,108.2
1989-10-01,108.2
1990-01-01,106.79
1990-04-01,104.71
1990-07-01,103.69
1990-10-01,101.43
1991-01-01,100.91
1991-04-01,100.74
1991-07-01,100.24
1991-10-01,100.38
1992-01-01,101.51
1992-04-01,100.84
1992-07-01,101.37
1992-10-01,101.85
1993-01-01,101.45
1993-04-01,101.99
1993-07-01,102.37
1993-10-01,102.72
1994-01-01,102.57
1994-04-01,102.05
1994-07-01,101.52
1994-10-01,99.46
1995-01-01,100.00
1995-04-01,101.56
1995-07-01,102.84
1995-10-01,102.94
1996-01-01,104.62
1996-04-01,104.47
1996-07-01,103.74
1996-10-01,104.04
1997-01-01,104.65
1997-04-01,105.68
1997-07-01,106.89
1997-10-01,108
1998-01-01,110.1
1998-04-01,111.48
1998-07-01,113.06
1998-10-01,114.11
1999-01-01,116.4
1999-04-01,118.66
1999-07-01,123.29
1999-10-01,125.93
2000-01-01,129.61
2000-04-01,133.54
2000-07-01,137.84
2000-10-01,140.26
2001-01-01,143.96
2001-04-01,147.37
2001-07-01,152.02
2001-10-01,155.02
2002-01-01,159.38
2002-04-01,165.14
2002-07-01,170.63
2002-10-01,174.23
2003-01-01,177.84
2003-04-01,181.38
2003-07-01,184.72
2003-10-01,194.25
2004-01-01,198.69
2004-04-01,205.48
2004-07-01,219.13
2004-10-01,224.23
2005-01-01,231.03
2005-04-01,241.38
2005-07-01,250.6
2005-10-01,258.09
2006-01-01,263.65
2006-04-01,265.86
2006-07-01,267.87
2006-10-01,269.67
2007-01-01,270.7
2007-04-01,270.17
2007-07-01,267.05
2007-10-01,266.38
2008-01-01,265.88
2008-04-01,259.24
2008-07-01,250.94
2008-10-01,248.36
2009-01-01,248.57
2009-04-01,242.25
2009-07-01,235.66
2009-10-01,233.73
2010-01-01,232.14
2010-04-01,230.73
2010-07-01,232.03
2010-10-01,232.4
2011-01-01,229.3
2011-04-01,225.74
2011-07-01,224.73
2011-10-01,225.54
2012-01-01,224.24
2012-04-01,221.63
2012-07-01,222.7
2012-10-01,223.3
2013-01-01,223.86
2013-04-01,224.25
2013-07-01,225.58
2013-10-01,226.37
2014-01-01,227.69
2014-04-01,230.22
2014-07-01,233.57
2014-10-01,235.76
2015-01-01,238.59
2015-04-01,240.15
2015-07-01,243.53
2015-10-01,244.99
2016-01-01,247
2016-04-01,250.82
2016-07-01,253.98
2016-10-01,256.64
2017-01-01,258.61
2017-04-01,263.02
2017-07-01,266.44
2017-10-01,269.13
2018-01-01,272.68
2018-04-01,274.49
2018-07-01,277.15
2018-10-01,276.85
2019-01-01,279.41
2019-04-01,282.52
2019-07-01,285.92
2019-10-01,288.27
2020-01-01,290.38
2020-04-01,291.48
2020-07-01,295.26
2020-10-01,300.37
2021-01-01,305.84
2021-04-01,314.27
2021-07-01,327.2
2021-10-01,334.5
2022-01-01,340.58
