DATE,ATNHPIUS41740Q
1975-10-01,25.3
1976-01-01,28.12
1976-04-01,27.32
1976-07-01,28.07
1976-10-01,29.35
1977-01-01,30.38
1977-04-01,32.91
1977-07-01,35.55
1977-10-01,38.3
1978-01-01,39.93
1978-04-01,41.71
1978-07-01,43.48
1978-10-01,45.19
1979-01-01,47.94
1979-04-01,50.47
1979-07-01,52.78
1979-10-01,54.24
1980-01-01,54.94
1980-04-01,55.81
1980-07-01,56.85
1980-10-01,51.88
1981-01-01,57.1
1981-04-01,59.12
1981-07-01,60.5
1981-10-01,56.08
1982-01-01,57.69
1982-04-01,52.41
1982-07-01,52.92
1982-10-01,59.38
1983-01-01,57.81
1983-04-01,57.38
1983-07-01,60.15
1983-10-01,60.79
1984-01-01,61.28
1984-04-01,61.72
1984-07-01,62.42
1984-10-01,63.36
1985-01-01,63.58
1985-04-01,64.62
1985-07-01,66.01
1985-10-01,66.12
1986-01-01,67.5
1986-04-01,68.4
1986-07-01,70.11
1986-10-01,71.28
1987-01-01,72.94
1987-04-01,74.61
1987-07-01,76.45
1987-10-01,78.17
1988-01-01,80.41
1988-04-01,82.93
1988-07-01,86.63
1988-10-01,91.93
1989-01-01,96.76
1989-04-01,101.58
1989-07-01,106.71
1989-10-01,109.68
1990-01-01,110.95
1990-04-01,111.14
1990-07-01,112.36
1990-10-01,111.27
1991-01-01,111.29
1991-04-01,110.57
1991-07-01,110.51
1991-10-01,111.09
1992-01-01,110.76
1992-04-01,109.84
1992-07-01,109.59
1992-10-01,108.63
1993-01-01,107.29
1993-04-01,106.38
1993-07-01,105.51
1993-10-01,105.25
1994-01-01,104.3
1994-04-01,102.28
1994-07-01,101.29
1994-10-01,100.35
1995-01-01,100.00
1995-04-01,100.68
1995-07-01,101.73
1995-10-01,101.69
1996-01-01,101.75
1996-04-01,100.12
1996-07-01,100.12
1996-10-01,101.04
1997-01-01,101.2
1997-04-01,102.15
1997-07-01,104.26
1997-10-01,105.8
1998-01-01,108.41
1998-04-01,111.57
1998-07-01,115.28
1998-10-01,117.74
1999-01-01,119.94
1999-04-01,122.39
1999-07-01,126.49
1999-10-01,130
2000-01-01,136.62
2000-04-01,140.75
2000-07-01,145.55
2000-10-01,150.06
2001-01-01,154.93
2001-04-01,159.27
2001-07-01,163.85
2001-10-01,167.63
2002-01-01,173.47
2002-04-01,181.63
2002-07-01,190.09
2002-10-01,196.54
2003-01-01,202.45
2003-04-01,207.09
2003-07-01,214.58
2003-10-01,229.69
2004-01-01,238.91
2004-04-01,254.37
2004-07-01,283.15
2004-10-01,292.07
2005-01-01,301.17
2005-04-01,309.54
2005-07-01,316.77
2005-10-01,323.75
2006-01-01,324.84
2006-04-01,323.38
2006-07-01,322.28
2006-10-01,318.79
2007-01-01,313.49
2007-04-01,307.23
2007-07-01,297.1
2007-10-01,287.83
2008-01-01,274.23
2008-04-01,254.46
2008-07-01,237.83
2008-10-01,231.59
2009-01-01,231.43
2009-04-01,223.19
2009-07-01,219.28
2009-10-01,222.72
2010-01-01,222.08
2010-04-01,221.67
2010-07-01,223.81
2010-10-01,222.77
2011-01-01,216.12
2011-04-01,211.21
2011-07-01,213.33
2011-10-01,213.16
2012-01-01,211.71
2012-04-01,211.56
2012-07-01,215.96
2012-10-01,220.44
2013-01-01,224.94
2013-04-01,235.91
2013-07-01,248.09
2013-10-01,255.03
2014-01-01,258.79
2014-04-01,264.01
2014-07-01,266.91
2014-10-01,269.7
2015-01-01,272.05
2015-04-01,276.59
2015-07-01,283.02
2015-10-01,286.7
2016-01-01,290.52
2016-04-01,295.1
2016-07-01,301
2016-10-01,305.3
2017-01-01,309.41
2017-04-01,316.81
2017-07-01,323.07
2017-10-01,327.11
2018-01-01,332.32
2018-04-01,337.82
2018-07-01,340.42
2018-10-01,341.31
2019-01-01,341.93
2019-04-01,345.57
2019-07-01,349.41
2019-10-01,352.08
2020-01-01,355.83
2020-04-01,361.14
2020-07-01,366.16
2020-10-01,374.36
2021-01-01,386.12
2021-04-01,410.64
2021-07-01,433.16
2021-10-01,451.36
2022-01-01,472.45
