Date,Close
1/1/1975,41.68
4/1/1975,42.74
7/1/1975,44.27
10/1/1975,45.77
1/1/1976,47.79
4/1/1976,50.25
7/1/1976,53.56
10/1/1976,55.59
1/1/1977,58.02
4/1/1977,63.02
7/1/1977,67.95
10/1/1977,70.67
1/1/1978,73.2
4/1/1978,76
7/1/1978,78.62
10/1/1978,81.8
1/1/1979,84.85
4/1/1979,88.62
7/1/1979,93.11
10/1/1979,96.41
1/1/1980,100
4/1/1980,102.86
7/1/1980,106.55
10/1/1980,108.38
1/1/1981,110.42
4/1/1981,112.94
7/1/1981,116.33
10/1/1981,117.53
1/1/1982,104.32
4/1/1982,107.43
7/1/1982,104.89
10/1/1982,115.87
1/1/1983,116.73
4/1/1983,117.42
7/1/1983,117.26
10/1/1983,117.77
1/1/1984,119.51
4/1/1984,120.13
7/1/1984,121.69
10/1/1984,122.79
1/1/1985,124.53
4/1/1985,126.34
7/1/1985,129.19
10/1/1985,130.59
1/1/1986,132.28
4/1/1986,134.82
7/1/1986,137.77
10/1/1986,141.14
1/1/1987,144.75
4/1/1987,148.3
7/1/1987,152.98
10/1/1987,157.29
1/1/1988,163.07
4/1/1988,169.77
7/1/1988,177.84
10/1/1988,187.56
1/1/1989,196.36
4/1/1989,206.02
7/1/1989,217.93
10/1/1989,224.77
1/1/1990,227.54
4/1/1990,228.26
7/1/1990,230.21
10/1/1990,228.66
1/1/1991,228.58
4/1/1991,227.16
7/1/1991,227.16
10/1/1991,228.83
1/1/1992,227.62
4/1/1992,225.27
7/1/1992,224.82
10/1/1992,222.72
1/1/1993,219.28
4/1/1993,217.39
7/1/1993,215.55
10/1/1993,214.27
1/1/1994,212.15
4/1/1994,207.01
7/1/1994,203.95
10/1/1994,201.07
1/1/1995,199.73
4/1/1995,201.64
7/1/1995,203.97
10/1/1995,203.65
1/1/1996,203.62
4/1/1996,201.02
7/1/1996,200.65
10/1/1996,201.7
1/1/1997,202.65
4/1/1997,204.69
7/1/1997,208.73
10/1/1997,212.38
1/1/1998,217.02
4/1/1998,221.76
7/1/1998,227.63
10/1/1998,232.02
1/1/1999,235.51
4/1/1999,239.52
7/1/1999,245.03
10/1/1999,250.22
1/1/2000,261.1
4/1/2000,268.12
7/1/2000,277.13
10/1/2000,285.69
1/1/2001,296.73
4/1/2001,305.81
7/1/2001,312.24
10/1/2001,316.63
1/1/2002,325.09
4/1/2002,336.13
7/1/2002,348.77
10/1/2002,358.98
1/1/2003,367.27
4/1/2003,374.15
7/1/2003,386.84
10/1/2003,411.59
1/1/2004,424.85
4/1/2004,451.45
7/1/2004,497.38
10/1/2004,516.49
1/1/2005,539.04
4/1/2005,570.65
7/1/2005,599.11
10/1/2005,625.84
1/1/2006,638.81
4/1/2006,644.68
7/1/2006,646.78
10/1/2006,643.06
1/1/2007,634.28
4/1/2007,623.65
7/1/2007,600.33
10/1/2007,575.9
1/1/2008,543.61
4/1/2008,498.73
7/1/2008,460.9
10/1/2008,445.03
1/1/2009,441.03
4/1/2009,420.91
7/1/2009,411.62
10/1/2009,412.95
1/1/2010,409.91
4/1/2010,408.72
7/1/2010,410.96
10/1/2010,406.43
1/1/2011,391.94
4/1/2011,385.65
7/1/2011,387.26
10/1/2011,386.08
1/1/2012,381.78
4/1/2012,382.43
7/1/2012,391.36
10/1/2012,399.68
1/1/2013,408.12
4/1/2013,426.87
7/1/2013,447.92
10/1/2013,462.78
1/1/2014,472.41
4/1/2014,485.19
7/1/2014,495.34
10/1/2014,500.96
1/1/2015,506.17
4/1/2015,517.56
7/1/2015,530.76
10/1/2015,538.08
1/1/2016,545.12
4/1/2016,554.75
7/1/2016,566.89
10/1/2016,573.71
1/1/2017,579.71
4/1/2017,591.77
7/1/2017,603.5
10/1/2017,612.19
1/1/2018,622.6
4/1/2018,634.46
7/1/2018,642.48
10/1/2018,642.38
1/1/2019,646.44
4/1/2019,653.06
7/1/2019,659.93
10/1/2019,664.2
1/1/2020,670.42
4/1/2020,678.09
7/1/2020,686.04
10/1/2020,700.15
1/1/2021,719.59
4/1/2021,762.33
7/1/2021,801.62
10/1/2021,834.09
1/1/2022,868.3
