DATE,NYSTHPI
1975-01-01,78.31
1975-04-01,75.74
1975-07-01,77.69
1975-10-01,79.67
1976-01-01,73.02
1976-04-01,74.88
1976-07-01,75.49
1976-10-01,73.88
1977-01-01,77.76
1977-04-01,82.86
1977-07-01,82.47
1977-10-01,84.88
1978-01-01,83.31
1978-04-01,87.47
1978-07-01,83.94
1978-10-01,83.95
1979-01-01,96.34
1979-04-01,95.83
1979-07-01,94.72
1979-10-01,98.15
1980-01-01,100.00
1980-04-01,107.06
1980-07-01,114.83
1980-10-01,111.19
1981-01-01,111.98
1981-04-01,108.35
1981-07-01,115.65
1981-10-01,114.3
1982-01-01,123.31
1982-04-01,125.09
1982-07-01,122.35
1982-10-01,126.39
1983-01-01,128.67
1983-04-01,132.72
1983-07-01,138.18
1983-10-01,147.06
1984-01-01,150.6
1984-04-01,156.51
1984-07-01,162.06
1984-10-01,169.12
1985-01-01,176.14
1985-04-01,184.48
1985-07-01,191.01
1985-10-01,198.45
1986-01-01,206.41
1986-04-01,217.04
1986-07-01,226.91
1986-10-01,237.1
1987-01-01,246.5
1987-04-01,255.11
1987-07-01,266.8
1987-10-01,270.72
1988-01-01,277.1
1988-04-01,280.57
1988-07-01,282.67
1988-10-01,283.48
1989-01-01,283.22
1989-04-01,282.71
1989-07-01,285.74
1989-10-01,286.38
1990-01-01,286.4
1990-04-01,283.16
1990-07-01,281.51
1990-10-01,278.57
1991-01-01,278.15
1991-04-01,279.98
1991-07-01,279.09
1991-10-01,281.35
1992-01-01,286.62
1992-04-01,282.67
1992-07-01,285.81
1992-10-01,287.83
1993-01-01,282.52
1993-04-01,289.18
1993-07-01,288.27
1993-10-01,289.4
1994-01-01,286.08
1994-04-01,282.26
1994-07-01,280.75
1994-10-01,275.57
1995-01-01,274.23
1995-04-01,278.95
1995-07-01,283.6
1995-10-01,282.74
1996-01-01,287.52
1996-04-01,285.78
1996-07-01,283.75
1996-10-01,283.46
1997-01-01,283.57
1997-04-01,286.93
1997-07-01,289.39
1997-10-01,292.32
1998-01-01,298.85
1998-04-01,301.13
1998-07-01,303.42
1998-10-01,307.54
1999-01-01,309.89
1999-04-01,315.61
1999-07-01,324.57
1999-10-01,330.72
2000-01-01,335.45
2000-04-01,345.51
2000-07-01,355.63
2000-10-01,361.07
2001-01-01,369.21
2001-04-01,377.39
2001-07-01,387.75
2001-10-01,394.6
2002-01-01,404.25
2002-04-01,417.08
2002-07-01,429.72
2002-10-01,438.98
2003-01-01,448.81
2003-04-01,459.71
2003-07-01,466.76
2003-10-01,488.7
2004-01-01,499.0
2004-04-01,513.66
2004-07-01,538.71
2004-10-01,552.31
2005-01-01,566.97
2005-04-01,585.78
2005-07-01,604.94
2005-10-01,618.64
2006-01-01,629.67
2006-04-01,631.58
2006-07-01,630.92
2006-10-01,638.99
2007-01-01,642.11
2007-04-01,639.99
2007-07-01,630.82
2007-10-01,632.77
2008-01-01,636.13
2008-04-01,624.09
2008-07-01,607.88
2008-10-01,602.18
2009-01-01,609.33
2009-04-01,596.24
2009-07-01,582.06
2009-10-01,576.89
2010-01-01,573.19
2010-04-01,569.61
2010-07-01,577.66
2010-10-01,577.47
2011-01-01,568.77
2011-04-01,560.71
2011-07-01,558.23
2011-10-01,562.55
2012-01-01,558.28
2012-04-01,552.56
2012-07-01,554.41
2012-10-01,556.25
2013-01-01,556.99
2013-04-01,558.52
2013-07-01,561.24
2013-10-01,560.37
2014-01-01,560.81
2014-04-01,566.48
2014-07-01,574.94
2014-10-01,578.1
2015-01-01,583.63
2015-04-01,588.37
2015-07-01,593.35
2015-10-01,594.23
2016-01-01,597.43
2016-04-01,607.06
2016-07-01,615.32
2016-10-01,620.8
2017-01-01,622.62
2017-04-01,632.74
2017-07-01,645.13
2017-10-01,651.2
2018-01-01,658.17
2018-04-01,666.24
2018-07-01,677.34
2018-10-01,677.67
2019-01-01,683.25
2019-04-01,694.33
2019-07-01,704.49
2019-10-01,711.9
2020-01-01,718.79
2020-04-01,724.34
2020-07-01,736.15
2020-10-01,752.19
2021-01-01,770.26
2021-04-01,797.48
2021-07-01,838.06
2021-10-01,857.02
2022-01-01,878.48
