Date,Close
1/1/1975,78.31
4/1/1975,75.74
7/1/1975,77.69
10/1/1975,79.67
1/1/1976,73.02
4/1/1976,74.88
7/1/1976,75.49
10/1/1976,73.88
1/1/1977,77.76
4/1/1977,82.86
7/1/1977,82.47
10/1/1977,84.88
1/1/1978,83.31
4/1/1978,87.47
7/1/1978,83.94
10/1/1978,83.95
1/1/1979,96.34
4/1/1979,95.83
7/1/1979,94.72
10/1/1979,98.15
1/1/1980,100
4/1/1980,107.06
7/1/1980,114.83
10/1/1980,111.19
1/1/1981,111.98
4/1/1981,108.35
7/1/1981,115.65
10/1/1981,114.3
1/1/1982,123.31
4/1/1982,125.09
7/1/1982,122.35
10/1/1982,126.39
1/1/1983,128.67
4/1/1983,132.72
7/1/1983,138.18
10/1/1983,147.06
1/1/1984,150.6
4/1/1984,156.51
7/1/1984,162.06
10/1/1984,169.12
1/1/1985,176.14
4/1/1985,184.48
7/1/1985,191.01
10/1/1985,198.45
1/1/1986,206.41
4/1/1986,217.04
7/1/1986,226.91
10/1/1986,237.1
1/1/1987,246.5
4/1/1987,255.11
7/1/1987,266.8
10/1/1987,270.72
1/1/1988,277.1
4/1/1988,280.57
7/1/1988,282.67
10/1/1988,283.48
1/1/1989,283.22
4/1/1989,282.71
7/1/1989,285.74
10/1/1989,286.38
1/1/1990,286.4
4/1/1990,283.16
7/1/1990,281.51
10/1/1990,278.57
1/1/1991,278.15
4/1/1991,279.98
7/1/1991,279.09
10/1/1991,281.35
1/1/1992,286.62
4/1/1992,282.67
7/1/1992,285.81
10/1/1992,287.83
1/1/1993,282.52
4/1/1993,289.18
7/1/1993,288.27
10/1/1993,289.4
1/1/1994,286.08
4/1/1994,282.26
7/1/1994,280.75
10/1/1994,275.57
1/1/1995,274.23
4/1/1995,278.95
7/1/1995,283.6
10/1/1995,282.74
1/1/1996,287.52
4/1/1996,285.78
7/1/1996,283.75
10/1/1996,283.46
1/1/1997,283.57
4/1/1997,286.93
7/1/1997,289.39
10/1/1997,292.32
1/1/1998,298.85
4/1/1998,301.13
7/1/1998,303.42
10/1/1998,307.54
1/1/1999,309.89
4/1/1999,315.61
7/1/1999,324.57
10/1/1999,330.72
1/1/2000,335.45
4/1/2000,345.51
7/1/2000,355.63
10/1/2000,361.07
1/1/2001,369.21
4/1/2001,377.39
7/1/2001,387.75
10/1/2001,394.6
1/1/2002,404.25
4/1/2002,417.08
7/1/2002,429.72
10/1/2002,438.98
1/1/2003,448.81
4/1/2003,459.71
7/1/2003,466.76
10/1/2003,488.7
1/1/2004,499
4/1/2004,513.66
7/1/2004,538.71
10/1/2004,552.31
1/1/2005,566.97
4/1/2005,585.78
7/1/2005,604.94
10/1/2005,618.64
1/1/2006,629.67
4/1/2006,631.58
7/1/2006,630.92
10/1/2006,638.99
1/1/2007,642.11
4/1/2007,639.99
7/1/2007,630.82
10/1/2007,632.77
1/1/2008,636.13
4/1/2008,624.09
7/1/2008,607.88
10/1/2008,602.18
1/1/2009,609.33
4/1/2009,596.24
7/1/2009,582.06
10/1/2009,576.89
1/1/2010,573.19
4/1/2010,569.61
7/1/2010,577.66
10/1/2010,577.47
1/1/2011,568.77
4/1/2011,560.71
7/1/2011,558.23
10/1/2011,562.55
1/1/2012,558.28
4/1/2012,552.56
7/1/2012,554.41
10/1/2012,556.25
1/1/2013,556.99
4/1/2013,558.52
7/1/2013,561.24
10/1/2013,560.37
1/1/2014,560.81
4/1/2014,566.48
7/1/2014,574.94
10/1/2014,578.1
1/1/2015,583.63
4/1/2015,588.37
7/1/2015,593.35
10/1/2015,594.23
1/1/2016,597.43
4/1/2016,607.06
7/1/2016,615.32
10/1/2016,620.8
1/1/2017,622.62
4/1/2017,632.74
7/1/2017,645.13
10/1/2017,651.2
1/1/2018,658.17
4/1/2018,666.24
7/1/2018,677.34
10/1/2018,677.67
1/1/2019,683.25
4/1/2019,694.33
7/1/2019,704.49
10/1/2019,711.9
1/1/2020,718.79
4/1/2020,724.34
7/1/2020,736.15
10/1/2020,752.19
1/1/2021,770.26
4/1/2021,797.48
7/1/2021,838.06
10/1/2021,857.02
1/1/2022,878.48
