Date,Open,High,Low,Close,Adj Close,Volume
11/5/2008,4.811667,4.899167,4.176667,4.25,3.39175,229200
11/6/2008,4.15,4.1975,3.5525,3.6,2.873012,4332000
11/7/2008,3.7075,3.8875,3.611667,3.854167,3.075852,6978000
11/10/2008,4.15,4.161667,3.584167,3.704167,2.956144,5785200
11/11/2008,3.541667,3.6875,3.291667,3.459167,2.760619,11479200
11/12/2008,3.3275,3.3275,3.0175,3.074167,2.453367,13312800
11/13/2008,3.051667,3.533333,2.564167,3.518333,2.807837,32067600
11/14/2008,3.270833,3.583333,3.041667,3.0675,2.448045,34303200
11/17/2008,2.956667,3.170833,2.833333,2.850833,2.275133,44524800
11/18/2008,2.836667,2.995,2.595833,2.876667,2.29575,61130400
11/19/2008,2.875,2.970833,2.366667,2.413333,1.925982,75193200
11/20/2008,2.324167,2.4975,1.846667,1.996667,1.593458,137044800
11/21/2008,2.266667,2.27,1.805833,2.2225,1.773686,124576800
11/24/2008,2.371667,2.7975,2.316667,2.5975,2.072958,98185200
11/25/2008,2.834167,2.845833,2.525,2.7425,2.188676,80054400
11/26/2008,2.5875,3.045,2.575833,3.028333,2.416788,61237200
11/28/2008,2.991667,3.125,2.979167,3.118333,2.488614,21645600
12/1/2008,2.8725,2.881667,2.281667,2.308333,1.842186,101854800
12/2/2008,2.423333,2.573333,2.31,2.5525,2.037045,109262400
12/3/2008,2.388333,2.786667,2.366667,2.744167,2.190007,136166400
12/4/2008,2.645833,2.825833,2.403333,2.525,2.015099,109459200
12/5/2008,2.415,2.816667,2.283333,2.781667,2.219934,167187600
12/8/2008,3.033333,3.206667,2.974167,3.091667,2.467333,142784400
12/9/2008,3.0125,3.204167,2.879167,2.9175,2.328337,126266400
12/10/2008,3.018333,3.119167,2.895833,3.009167,2.401493,125726400
12/11/2008,2.954167,3.0975,2.721667,2.786667,2.223924,113610000
12/12/2008,2.543333,2.885,2.516667,2.860833,2.283114,142026000
12/15/2008,2.903333,2.916667,2.630833,2.738333,2.185351,91215600
12/16/2008,2.819167,3.1575,2.810833,3.155833,2.518541,121978800
12/17/2008,3.050833,3.229167,2.984167,3.075,2.458316,118600800
12/18/2008,3.119167,3.140833,2.796667,2.905,2.322408,94359600
12/19/2008,2.9425,3.075833,2.858333,2.899167,2.317745,97183200
12/22/2008,2.91,2.916667,2.603333,2.766667,2.211817,76341600
12/23/2008,2.798333,2.835833,2.648333,2.679167,2.141866,68952000
12/24/2008,2.713333,2.736667,2.656667,2.710833,2.167181,17952000
12/26/2008,2.7725,2.778333,2.705,2.7675,2.212484,19194000
12/29/2008,2.7875,2.7875,2.62,2.75,2.198493,46562400
12/30/2008,2.795833,2.935833,2.754167,2.9325,2.344393,57126000
12/31/2008,2.944167,3.128333,2.926667,3.0325,2.424339,65361600
1/2/2009,3.09,3.385,3.025,3.329167,2.66151,87174000
1/5/2009,3.291667,3.428333,3.224167,3.329167,2.66151,111709200
1/6/2009,3.419167,3.508333,3.3225,3.41,2.726132,119607600
1/7/2009,3.230833,3.280833,3.045833,3.123333,2.496955,116395200
1/8/2009,3.051667,3.155,3.009167,3.155,2.522271,104341200
1/9/2009,3.175833,3.185833,2.925,2.9475,2.356385,114417600
1/12/2009,2.919167,2.928333,2.679167,2.733333,2.185169,85770000
1/13/2009,2.703333,2.808333,2.661667,2.744167,2.19383,123522000
1/14/2009,2.6075,2.6225,2.43,2.475833,1.97931,158102400
1/15/2009,2.46,2.576667,2.256667,2.508333,2.005292,200223600
1/16/2009,2.631667,2.641667,2.385,2.558333,2.045265,209690400
1/20/2009,2.484167,2.505,2.144167,2.1625,1.728815,207566400
1/21/2009,2.263333,2.435,2.141667,2.424167,1.938006,180774000
1/22/2009,2.285,2.421667,2.175833,2.3025,1.840738,200959200
1/23/2009,2.145,2.415,2.125,2.345,1.874715,213451200
1/26/2009,2.3875,2.536667,2.315833,2.370833,1.895367,203494800
1/27/2009,2.42,2.5075,2.375,2.460833,1.967318,165728400
1/28/2009,2.625833,2.7525,2.594167,2.68,2.142532,189104400
1/29/2009,2.579167,2.604167,2.434167,2.446667,1.955994,157486800
1/30/2009,2.478333,2.51,2.244167,2.293333,1.83341,200570400
2/2/2009,2.1875,2.318333,2.166667,2.275833,1.81942,156507600
2/3/2009,2.320833,2.413333,2.241667,2.360833,1.887373,160300800
2/4/2009,2.408333,2.5,2.3125,2.3275,1.860725,184461600
2/5/2009,2.279167,2.500833,2.235833,2.451667,1.959991,242638800
2/6/2009,2.480833,2.6875,2.466667,2.651667,2.119881,174416400
2/9/2009,2.649167,2.73,2.601667,2.669167,2.133871,123003600
2/10/2009,2.595833,2.6675,2.2475,2.2975,1.836741,261804000
2/11/2009,2.333333,2.375,2.240833,2.3375,1.868719,170080800
2/12/2009,2.225833,2.358333,2.135833,2.351667,1.880045,226532400
2/13/2009,2.334167,2.394167,2.270833,2.28,1.822751,137535600
2/17/2009,2.073333,2.093333,1.958333,1.968333,1.573588,262568400
2/18/2009,2.026667,2.03,1.906667,1.9625,1.568925,197564400
